ABR_site,Treatment,sex,fled
ABR10,COYOTE,male,1
ABR10,CONTROL,male,0
ABR10,CONTROL,male,0
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,male,1
ABR10,COYOTE,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,female,0
ABR10,COYOTE,male,1
ABR10,COYOTE,male,1
ABR10,COYOTE,female,1
ABR10,CONTROL,female,1
ABR10,CONTROL,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,COYOTE,male,1
ABR10,COYOTE,female,1
ABR10,PIG,female,1
ABR10,CONTROL,female,1
ABR10,COYOTE,male,0
ABR10,COYOTE,female,0
ABR10,COYOTE,male,0
ABR10,CONTROL,male,1
ABR10,CONTROL,female,1
ABR10,CONTROL,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,female,0
ABR11,CONTROL,male,0
ABR11,CONTROL,female,0
ABR11,CONTROL,female,0
ABR11,CONTROL,female,0
ABR11,PIG,male,1
ABR11,PIG,female,1
ABR11,PIG,female,1
ABR11,PIG,male,1
ABR11,PIG,female,1
ABR11,PIG,male,1
ABR11,CONTROL,female,0
ABR11,PIG,female,0
ABR11,PIG,female,0
ABR11,PIG,female,0
ABR11,PIG,female,0
ABR11,CONTROL,female,0
ABR11,PIG,male,0
ABR11,PIG,female,0
ABR11,CONTROL,male,0
ABR11,CONTROL,female,0
ABR11,CONTROL,female,0
ABR11,PIG,female,0
ABR11,PIG,female,0
ABR12,COYOTE,female,0
ABR12,CONTROL,female,0
ABR12,CONTROL,male,0
ABR12,COYOTE,male,0
ABR12,CONTROL,female,0
ABR12,PIG,male,0
ABR12,CONTROL,male,0
ABR12,CONTROL,female,0
ABR12,CONTROL,female,0
ABR12,PIG,female,1
ABR12,PIG,female,1
ABR12,CONTROL,male,0
ABR12,CONTROL,female,0
ABR12,PIG,male,1
ABR12,COYOTE,male,0
ABR12,COYOTE,female,0
ABR12,CONTROL,male,0
ABR12,COYOTE,female,0
ABR12,COYOTE,male,0
ABR12,COYOTE,female,0
ABR12,COYOTE,male,0
ABR12,PIG,male,0
ABR13,CONTROL,male,0
ABR13,COYOTE,male,1
ABR13,COYOTE,male,1
ABR13,PIG,male,1
ABR13,CONTROL,male,0
ABR13,CONTROL,male,0
ABR13,COYOTE,male,0
ABR13,COYOTE,male,0
ABR13,CONTROL,male,0
ABR13,CONTROL,male,0
ABR13,CONTROL,male,0
ABR13,COYOTE,male,0
ABR13,COYOTE,male,0
ABR13,COYOTE,male,0
ABR13,PIG,male,0
ABR13,CONTROL,male,0
ABR13,PIG,male,0
ABR14,CONTROL,female,1
ABR14,COYOTE,male,1
ABR14,COYOTE,female,1
ABR14,COYOTE,female,1
ABR14,COYOTE,female,1
ABR14,PIG,male,1
ABR14,PIG,female,1
ABR14,CONTROL,male,0
ABR14,CONTROL,male,1
ABR14,COYOTE,male,1
ABR14,PIG,male,1
ABR14,PIG,male,1
ABR14,CONTROL,female,1
ABR14,PIG,male,1
ABR14,PIG,female,1
ABR14,PIG,female,1
ABR14,COYOTE,female,1
ABR15,CONTROL,male,0
ABR15,COYOTE,male,0
ABR15,PIG,male,1
ABR15,CONTROL,male,0
ABR15,CONTROL,male,0
ABR15,CONTROL,male,0
ABR15,PIG,male,0
ABR15,PIG,male,0
ABR15,PIG,male,0
ABR15,PIG,female,0
ABR15,CONTROL,male,0
ABR15,CONTROL,female,0
ABR15,PIG,female,0
ABR15,PIG,female,1
ABR15,CONTROL,female,1
ABR15,COYOTE,female,0
ABR15,COYOTE,female,0
ABR15,PIG,female,1
ABR15,PIG,female,0
ABR15,CONTROL,female,0
ABR15,COYOTE,female,0
ABR15,PIG,female,0
ABR15,COYOTE,male,1
ABR15,PIG,female,0
ABR15,COYOTE,female,0
ABR15,PIG,female,0
ABR15,CONTROL,female,1
ABR15,CONTROL,female,1
ABR16,PIG,male,1
ABR16,PIG,female,1
ABR16,PIG,female,1
ABR16,COYOTE,female,1
ABR17,COYOTE,male,1
ABR17,COYOTE,female,1
ABR17,COYOTE,female,1
ABR17,CONTROL,male,0
ABR17,CONTROL,male,0
ABR17,CONTROL,male,1
ABR17,CONTROL,female,0
ABR17,CONTROL,female,0
ABR17,PIG,female,1
ABR17,COYOTE,male,0
ABR17,COYOTE,female,0
ABR17,COYOTE,female,0
ABR17,CONTROL,male,0
ABR17,PIG,female,1
ABR17,CONTROL,male,0
ABR17,PIG,female,1
ABR17,PIG,male,1
ABR17,CONTROL,female,1
ABR17,COYOTE,male,1
ABR17,CONTROL,female,1
ABR17,COYOTE,male,1
ABR17,PIG,male,1
ABR17,PIG,female,1
ABR17,CONTROL,male,0
ABR17,CONTROL,male,0
ABR17,COYOTE,male,0
ABR17,CONTROL,male,0
ABR17,PIG,male,1
ABR17,CONTROL,female,0
ABR17,PIG,male,1
ABR17,CONTROL,female,1
ABR17,PIG,female,1
ABR17,CONTROL,female,0
ABR17,COYOTE,male,1
ABR17,PIG,male,1
ABR17,COYOTE,male,1
ABR17,PIG,male,1
ABR17,CONTROL,female,0
ABR17,PIG,male,0
ABR17,PIG,male,1
ABR17,PIG,female,1
ABR18,COYOTE,female,1
ABR18,CONTROL,female,1
ABR18,CONTROL,female,1
ABR18,COYOTE,female,1
ABR18,CONTROL,female,1
ABR18,COYOTE,male,1
ABR18,COYOTE,female,1
ABR18,PIG,male,1
ABR18,CONTROL,male,0
ABR18,PIG,male,1
ABR18,PIG,female,1
ABR18,CONTROL,male,1
ABR18,PIG,male,1
ABR18,PIG,female,1
ABR18,CONTROL,male,0
ABR18,COYOTE,male,0
ABR18,COYOTE,male,0
ABR18,PIG,male,0
ABR18,PIG,male,0
ABR18,COYOTE,male,0
ABR18,COYOTE,female,1
ABR19,PIG,female,0
ABR19,CONTROL,female,0
ABR19,PIG,male,1
ABR19,PIG,male,1
ABR19,PIG,female,1
ABR19,PIG,female,1
ABR19,CONTROL,male,0
ABR19,CONTROL,male,0
ABR19,CONTROL,female,0
ABR19,COYOTE,male,1
ABR19,COYOTE,female,1
ABR19,PIG,female,0
ABR19,PIG,female,1
ABR19,PIG,female,1
ABR19,COYOTE,female,1
ABR19,PIG,male,0
ABR19,PIG,male,0
ABR19,PIG,female,0
ABR19,COYOTE,female,0
ABR19,COYOTE,female,0
ABR19,COYOTE,male,1
ABR19,COYOTE,female,1
ABR19,COYOTE,female,0
ABR19,PIG,male,1
ABR19,CONTROL,female,0
ABR19,CONTROL,female,0
ABR19,COYOTE,female,0
ABR19,COYOTE,male,0
ABR19,COYOTE,male,0
ABR19,COYOTE,female,0
ABR19,CONTROL,female,1
ABR19,PIG,female,1
ABR19,CONTROL,female,0
ABR19,COYOTE,female,1
ABR19,COYOTE,female,1
ABR19,COYOTE,female,1
ABR19,CONTROL,male,0
ABR19,PIG,female,1
ABR19,COYOTE,female,1
ABR19,COYOTE,female,1
ABR19,CONTROL,male,1
ABR19,CONTROL,male,1
ABR19,CONTROL,male,0
ABR19,COYOTE,male,0
ABR19,PIG,male,0
ABR19,PIG,male,0
ABR19,CONTROL,female,1
ABR19,CONTROL,female,1
ABR19,CONTROL,female,0
ABR19,CONTROL,female,0
ABR19,CONTROL,male,0
ABR19,COYOTE,female,1
ABR19,CONTROL,female,0
ABR19,PIG,male,1
ABR19,CONTROL,male,0
ABR19,CONTROL,female,0
ABR19,PIG,female,1
ABR19,COYOTE,male,0
ABR19,COYOTE,female,0
ABR19,CONTROL,male,0
ABR19,CONTROL,female,1
ABR19,COYOTE,male,0
ABR19,COYOTE,female,0
ABR19,COYOTE,female,0
ABR19,COYOTE,female,0
ABR19,CONTROL,female,0
ABR19,PIG,male,0
ABR19,PIG,female,0
ABR19,PIG,female,0
ABR19,COYOTE,male,0
ABR19,COYOTE,male,0
ABR19,COYOTE,male,0
ABR19,COYOTE,female,0
ABR20,COYOTE,female,1
ABR20,COYOTE,female,1
ABR22,CONTROL,male,0
ABR22,CONTROL,female,0
ABR22,PIG,male,0
ABR22,PIG,female,0
ABR22,COYOTE,male,0
ABR22,PIG,female,1
ABR22,COYOTE,male,1
ABR22,PIG,male,1
ABR22,COYOTE,male,1
ABR22,COYOTE,male,1
ABR22,PIG,male,0
ABR22,COYOTE,male,0
ABR22,CONTROL,male,0
ABR22,CONTROL,male,0
ABR22,CONTROL,female,0
ABR22,PIG,male,1
ABR22,CONTROL,male,1
ABR23,PIG,male,1
ABR23,PIG,male,1
ABR23,PIG,female,1
ABR23,COYOTE,female,0
ABR23,PIG,male,1
ABR23,COYOTE,female,0
ABR23,PIG,male,1
ABR23,COYOTE,male,1
ABR23,COYOTE,female,1
ABR23,CONTROL,male,1
ABR23,COYOTE,male,0
ABR23,CONTROL,male,0
ABR23,CONTROL,male,0
ABR23,CONTROL,male,0
ABR23,CONTROL,male,0
ABR23,CONTROL,female,0
ABR23,CONTROL,female,0
ABR23,COYOTE,male,1
ABR23,COYOTE,male,1
ABR23,COYOTE,female,1
ABR23,PIG,male,1
ABR23,PIG,male,1
ABR23,CONTROL,male,0
ABR23,CONTROL,female,0
ABR23,PIG,female,1
ABR23,PIG,female,1
ABR23,COYOTE,male,1
ABR23,COYOTE,male,1
ABR23,COYOTE,female,1
ABR23,PIG,male,1
ABR23,PIG,female,1
ABR24,CONTROL,male,0
ABR24,COYOTE,female,1
ABR24,COYOTE,female,0
ABR24,PIG,female,1
ABR24,COYOTE,female,0
ABR24,COYOTE,male,0
ABR24,COYOTE,female,0
ABR24,PIG,male,0
ABR24,PIG,female,0
ABR24,PIG,female,0
ABR24,CONTROL,female,0
ABR24,CONTROL,female,0
ABR24,CONTROL,female,0
ABR24,CONTROL,female,0
ABR24,CONTROL,female,0
ABR24,COYOTE,female,0
ABR24,COYOTE,female,1
ABR24,COYOTE,female,0
ABR24,CONTROL,female,0
ABR24,COYOTE,female,0
ABR24,COYOTE,female,0
ABR24,COYOTE,female,0
ABR25,COYOTE,female,0
ABR25,COYOTE,female,1
ABR25,PIG,male,1
ABR25,CONTROL,female,0
ABR25,CONTROL,female,1
ABR25,PIG,female,1
ABR25,PIG,female,1
ABR25,CONTROL,female,1
ABR25,PIG,female,1
ABR25,CONTROL,male,0
ABR25,PIG,male,0
ABR25,PIG,male,1
ABR25,PIG,male,0
ABR26,CONTROL,female,0
ABR26,COYOTE,female,1
ABR26,PIG,female,1
ABR26,PIG,female,1
ABR26,CONTROL,female,1
ABR26,PIG,female,1
ABR26,COYOTE,female,1
ABR26,CONTROL,female,0
ABR26,PIG,female,1
ABR26,CONTROL,female,0
ABR26,COYOTE,female,0
ABR26,COYOTE,female,1
ABR27,PIG,female,1
ABR27,CONTROL,male,0
ABR27,CONTROL,female,1
ABR27,CONTROL,female,1
ABR27,COYOTE,female,1
ABR27,COYOTE,male,0
ABR27,COYOTE,female,1
ABR27,CONTROL,male,0
ABR27,COYOTE,male,0
ABR27,CONTROL,male,0
ABR27,CONTROL,male,0
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,PIG,female,1
ABR28,COYOTE,female,0
ABR28,CONTROL,female,1
ABR28,COYOTE,female,1
ABR28,COYOTE,female,1
ABR28,PIG,female,1
ABR28,PIG,female,1
ABR28,CONTROL,female,1
ABR28,CONTROL,male,0
ABR28,CONTROL,female,0
ABR28,PIG,female,1
ABR28,PIG,female,1
ABR28,CONTROL,female,1
ABR28,COYOTE,male,0
ABR28,COYOTE,female,0
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,COYOTE,female,0
ABR28,COYOTE,female,0
ABR28,COYOTE,female,0
ABR28,COYOTE,male,0
ABR28,CONTROL,female,0
ABR28,COYOTE,male,0
ABR28,COYOTE,male,1
ABR28,PIG,female,0
ABR28,COYOTE,female,1
ABR28,COYOTE,female,1
ABR28,CONTROL,female,1
ABR29,COYOTE,female,1
ABR29,COYOTE,female,1
ABR30,PIG,female,1
ABR30,PIG,female,0
ABR30,COYOTE,female,0
ABR30,PIG,female,0
ABR30,COYOTE,female,0
ABR30,CONTROL,female,0
ABR30,CONTROL,female,0
ABR30,CONTROL,female,0
ABR30,PIG,female,0
ABR30,PIG,female,0
ABR31,COYOTE,male,1
ABR31,CONTROL,male,1
ABR31,CONTROL,female,1
ABR31,CONTROL,female,1
ABR31,PIG,male,1
ABR31,COYOTE,female,1
ABR31,PIG,male,1
ABR31,COYOTE,male,0
ABR31,CONTROL,male,0
ABR31,CONTROL,female,0
ABR31,PIG,male,0
ABR31,CONTROL,male,0
ABR31,COYOTE,male,0
ABR31,CONTROL,male,0
ABR31,PIG,male,1
ABR31,PIG,female,1
ABR31,CONTROL,male,0
ABR31,PIG,male,0
ABR31,PIG,male,1
ABR31,CONTROL,male,0
ABR31,CONTROL,male,0
ABR32,CONTROL,male,0
ABR33,CONTROL,male,1
ABR33,PIG,male,1
ABR33,PIG,female,1
ABR33,PIG,female,1
ABR33,PIG,female,1
ABR33,CONTROL,female,1
ABR33,COYOTE,female,1
ABR33,PIG,male,1
ABR33,PIG,male,1
ABR33,CONTROL,male,1
ABR34,PIG,male,1
ABR34,PIG,male,1
ABR34,CONTROL,male,1
ABR35,COYOTE,male,0
