ABR_site,Treatment,sex,total_videos
ABR10,COYOTE,male,9
ABR10,CONTROL,male,1
ABR10,CONTROL,male,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,male,1
ABR10,COYOTE,female,9
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,female,1
ABR10,COYOTE,male,9
ABR10,COYOTE,male,9
ABR10,COYOTE,female,9
ABR10,CONTROL,female,1
ABR10,CONTROL,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,COYOTE,male,9
ABR10,COYOTE,female,9
ABR10,PIG,female,1
ABR10,CONTROL,female,1
ABR10,COYOTE,male,9
ABR10,COYOTE,female,9
ABR10,COYOTE,male,9
ABR10,CONTROL,male,1
ABR10,CONTROL,female,1
ABR10,CONTROL,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,CONTROL,female,1
ABR11,CONTROL,male,1
ABR11,CONTROL,female,1
ABR11,CONTROL,female,1
ABR11,CONTROL,female,1
ABR11,PIG,male,4
ABR11,PIG,female,4
ABR11,PIG,female,4
ABR11,PIG,male,4
ABR11,PIG,female,4
ABR11,PIG,male,4
ABR11,CONTROL,female,1
ABR11,PIG,female,4
ABR11,PIG,female,4
ABR11,PIG,female,4
ABR11,PIG,female,4
ABR11,CONTROL,female,1
ABR11,PIG,male,4
ABR11,PIG,female,4
ABR11,CONTROL,male,1
ABR11,CONTROL,female,1
ABR11,CONTROL,female,1
ABR11,PIG,female,4
ABR11,PIG,female,4
ABR12,COYOTE,female,3
ABR12,CONTROL,female,2
ABR12,CONTROL,male,2
ABR12,COYOTE,male,3
ABR12,CONTROL,female,2
ABR12,PIG,male,1
ABR12,CONTROL,male,2
ABR12,CONTROL,female,2
ABR12,CONTROL,female,2
ABR12,PIG,female,1
ABR12,PIG,female,1
ABR12,CONTROL,male,2
ABR12,CONTROL,female,2
ABR12,PIG,male,1
ABR12,COYOTE,male,3
ABR12,COYOTE,female,3
ABR12,CONTROL,male,2
ABR12,COYOTE,female,3
ABR12,COYOTE,male,3
ABR12,COYOTE,female,3
ABR12,COYOTE,male,3
ABR12,PIG,male,1
ABR13,CONTROL,male,24
ABR13,COYOTE,male,15
ABR13,COYOTE,male,15
ABR13,PIG,male,18
ABR13,CONTROL,male,24
ABR13,CONTROL,male,24
ABR13,COYOTE,male,15
ABR13,COYOTE,male,15
ABR13,CONTROL,male,24
ABR13,CONTROL,male,24
ABR13,CONTROL,male,24
ABR13,COYOTE,male,15
ABR13,COYOTE,male,15
ABR13,COYOTE,male,15
ABR13,PIG,male,18
ABR13,CONTROL,male,24
ABR13,PIG,male,18
ABR14,CONTROL,female,25
ABR14,COYOTE,male,39
ABR14,COYOTE,female,39
ABR14,COYOTE,female,39
ABR14,COYOTE,female,39
ABR14,PIG,male,22
ABR14,PIG,female,22
ABR14,CONTROL,male,25
ABR14,CONTROL,male,25
ABR14,COYOTE,male,39
ABR14,PIG,male,22
ABR14,PIG,male,22
ABR14,CONTROL,female,25
ABR14,PIG,male,22
ABR14,PIG,female,22
ABR14,PIG,female,22
ABR14,COYOTE,female,39
ABR15,CONTROL,male,33
ABR15,COYOTE,male,32
ABR15,PIG,male,9
ABR15,CONTROL,male,33
ABR15,CONTROL,male,33
ABR15,CONTROL,male,33
ABR15,PIG,male,9
ABR15,PIG,male,9
ABR15,PIG,male,9
ABR15,PIG,female,9
ABR15,CONTROL,male,33
ABR15,CONTROL,female,33
ABR15,PIG,female,9
ABR15,PIG,female,9
ABR15,CONTROL,female,33
ABR15,COYOTE,female,32
ABR15,COYOTE,female,32
ABR15,PIG,female,9
ABR15,PIG,female,9
ABR15,CONTROL,female,33
ABR15,COYOTE,female,32
ABR15,PIG,female,9
ABR15,COYOTE,male,32
ABR15,PIG,female,9
ABR15,COYOTE,female,32
ABR15,PIG,female,9
ABR15,CONTROL,female,33
ABR15,CONTROL,female,33
ABR16,PIG,male,1
ABR16,PIG,female,1
ABR16,PIG,female,1
ABR16,COYOTE,female,1
ABR17,COYOTE,male,1
ABR17,COYOTE,female,1
ABR17,COYOTE,female,1
ABR17,CONTROL,male,6
ABR17,CONTROL,male,6
ABR17,CONTROL,male,6
ABR17,CONTROL,female,6
ABR17,CONTROL,female,6
ABR17,PIG,female,6
ABR17,COYOTE,male,1
ABR17,COYOTE,female,1
ABR17,COYOTE,female,1
ABR17,CONTROL,male,6
ABR17,PIG,female,6
ABR17,CONTROL,male,6
ABR17,PIG,female,6
ABR17,PIG,male,6
ABR17,CONTROL,female,6
ABR17,COYOTE,male,1
ABR17,CONTROL,female,6
ABR17,COYOTE,male,1
ABR17,PIG,male,6
ABR17,PIG,female,6
ABR17,CONTROL,male,6
ABR17,CONTROL,male,6
ABR17,COYOTE,male,1
ABR17,CONTROL,male,6
ABR17,PIG,male,6
ABR17,CONTROL,female,6
ABR17,PIG,male,6
ABR17,CONTROL,female,6
ABR17,PIG,female,6
ABR17,CONTROL,female,6
ABR17,COYOTE,male,1
ABR17,PIG,male,6
ABR17,COYOTE,male,1
ABR17,PIG,male,6
ABR17,CONTROL,female,6
ABR17,PIG,male,6
ABR17,PIG,male,6
ABR17,PIG,female,6
ABR18,COYOTE,female,5
ABR18,CONTROL,female,2
ABR18,CONTROL,female,2
ABR18,COYOTE,female,5
ABR18,CONTROL,female,2
ABR18,COYOTE,male,5
ABR18,COYOTE,female,5
ABR18,PIG,male,3
ABR18,CONTROL,male,2
ABR18,PIG,male,3
ABR18,PIG,female,3
ABR18,CONTROL,male,2
ABR18,PIG,male,3
ABR18,PIG,female,3
ABR18,CONTROL,male,2
ABR18,COYOTE,male,5
ABR18,COYOTE,male,5
ABR18,PIG,male,3
ABR18,PIG,male,3
ABR18,COYOTE,male,5
ABR18,COYOTE,female,5
ABR19,PIG,female,6
ABR19,CONTROL,female,5
ABR19,PIG,male,6
ABR19,PIG,male,6
ABR19,PIG,female,6
ABR19,PIG,female,6
ABR19,CONTROL,male,5
ABR19,CONTROL,male,5
ABR19,CONTROL,female,5
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR19,PIG,female,6
ABR19,PIG,female,6
ABR19,PIG,female,6
ABR19,COYOTE,female,3
ABR19,PIG,male,6
ABR19,PIG,male,6
ABR19,PIG,female,6
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,PIG,male,6
ABR19,CONTROL,female,5
ABR19,CONTROL,female,5
ABR19,COYOTE,female,3
ABR19,COYOTE,male,3
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR19,CONTROL,female,5
ABR19,PIG,female,6
ABR19,CONTROL,female,5
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,CONTROL,male,5
ABR19,PIG,female,6
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,CONTROL,male,5
ABR19,CONTROL,male,5
ABR19,CONTROL,male,5
ABR19,COYOTE,male,3
ABR19,PIG,male,6
ABR19,PIG,male,6
ABR19,CONTROL,female,5
ABR19,CONTROL,female,5
ABR19,CONTROL,female,5
ABR19,CONTROL,female,5
ABR19,CONTROL,male,5
ABR19,COYOTE,female,3
ABR19,CONTROL,female,5
ABR19,PIG,male,6
ABR19,CONTROL,male,5
ABR19,CONTROL,female,5
ABR19,PIG,female,6
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR19,CONTROL,male,5
ABR19,CONTROL,female,5
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,COYOTE,female,3
ABR19,CONTROL,female,5
ABR19,PIG,male,6
ABR19,PIG,female,6
ABR19,PIG,female,6
ABR19,COYOTE,male,3
ABR19,COYOTE,male,3
ABR19,COYOTE,male,3
ABR19,COYOTE,female,3
ABR20,COYOTE,female,2
ABR20,COYOTE,female,2
ABR22,CONTROL,male,1
ABR22,CONTROL,female,1
ABR22,PIG,male,7
ABR22,PIG,female,7
ABR22,COYOTE,male,2
ABR22,PIG,female,7
ABR22,COYOTE,male,2
ABR22,PIG,male,7
ABR22,COYOTE,male,2
ABR22,COYOTE,male,2
ABR22,PIG,male,7
ABR22,COYOTE,male,2
ABR22,CONTROL,male,1
ABR22,CONTROL,male,1
ABR22,CONTROL,female,1
ABR22,PIG,male,7
ABR22,CONTROL,male,1
ABR23,PIG,male,15
ABR23,PIG,male,15
ABR23,PIG,female,15
ABR23,COYOTE,female,14
ABR23,PIG,male,15
ABR23,COYOTE,female,14
ABR23,PIG,male,15
ABR23,COYOTE,male,14
ABR23,COYOTE,female,14
ABR23,CONTROL,male,14
ABR23,COYOTE,male,14
ABR23,CONTROL,male,14
ABR23,CONTROL,male,14
ABR23,CONTROL,male,14
ABR23,CONTROL,male,14
ABR23,CONTROL,female,14
ABR23,CONTROL,female,14
ABR23,COYOTE,male,14
ABR23,COYOTE,male,14
ABR23,COYOTE,female,14
ABR23,PIG,male,15
ABR23,PIG,male,15
ABR23,CONTROL,male,14
ABR23,CONTROL,female,14
ABR23,PIG,female,15
ABR23,PIG,female,15
ABR23,COYOTE,male,14
ABR23,COYOTE,male,14
ABR23,COYOTE,female,14
ABR23,PIG,male,15
ABR23,PIG,female,15
ABR24,CONTROL,male,3
ABR24,COYOTE,female,2
ABR24,COYOTE,female,2
ABR24,PIG,female,3
ABR24,COYOTE,female,2
ABR24,COYOTE,male,2
ABR24,COYOTE,female,2
ABR24,PIG,male,3
ABR24,PIG,female,3
ABR24,PIG,female,3
ABR24,CONTROL,female,3
ABR24,CONTROL,female,3
ABR24,CONTROL,female,3
ABR24,CONTROL,female,3
ABR24,CONTROL,female,3
ABR24,COYOTE,female,2
ABR24,COYOTE,female,2
ABR24,COYOTE,female,2
ABR24,CONTROL,female,3
ABR24,COYOTE,female,2
ABR24,COYOTE,female,2
ABR24,COYOTE,female,2
ABR25,COYOTE,female,4
ABR25,COYOTE,female,4
ABR25,PIG,male,3
ABR25,CONTROL,female,1
ABR25,CONTROL,female,1
ABR25,PIG,female,3
ABR25,PIG,female,3
ABR25,CONTROL,female,1
ABR25,PIG,female,3
ABR25,CONTROL,male,1
ABR25,PIG,male,3
ABR25,PIG,male,3
ABR25,PIG,male,3
ABR26,CONTROL,female,5
ABR26,COYOTE,female,3
ABR26,PIG,female,4
ABR26,PIG,female,4
ABR26,CONTROL,female,5
ABR26,PIG,female,4
ABR26,COYOTE,female,3
ABR26,CONTROL,female,5
ABR26,PIG,female,4
ABR26,CONTROL,female,5
ABR26,COYOTE,female,3
ABR26,COYOTE,female,3
ABR27,PIG,female,11
ABR27,CONTROL,male,14
ABR27,CONTROL,female,14
ABR27,CONTROL,female,14
ABR27,COYOTE,female,12
ABR27,COYOTE,male,12
ABR27,COYOTE,female,12
ABR27,CONTROL,male,14
ABR27,COYOTE,male,12
ABR27,CONTROL,male,14
ABR27,CONTROL,male,14
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,PIG,female,1
ABR28,COYOTE,female,2
ABR28,CONTROL,female,1
ABR28,COYOTE,female,2
ABR28,COYOTE,female,2
ABR28,PIG,female,1
ABR28,PIG,female,1
ABR28,CONTROL,female,1
ABR28,CONTROL,male,1
ABR28,CONTROL,female,1
ABR28,PIG,female,1
ABR28,PIG,female,1
ABR28,CONTROL,female,1
ABR28,COYOTE,male,2
ABR28,COYOTE,female,2
ABR28,PIG,male,1
ABR28,PIG,male,1
ABR28,COYOTE,female,2
ABR28,COYOTE,female,2
ABR28,COYOTE,female,2
ABR28,COYOTE,male,2
ABR28,CONTROL,female,1
ABR28,COYOTE,male,2
ABR28,COYOTE,male,2
ABR28,PIG,female,1
ABR28,COYOTE,female,2
ABR28,COYOTE,female,2
ABR28,CONTROL,female,1
ABR29,COYOTE,female,1
ABR29,COYOTE,female,1
ABR30,PIG,female,2
ABR30,PIG,female,2
ABR30,COYOTE,female,1
ABR30,PIG,female,2
ABR30,COYOTE,female,1
ABR30,CONTROL,female,3
ABR30,CONTROL,female,3
ABR30,CONTROL,female,3
ABR30,PIG,female,2
ABR30,PIG,female,2
ABR31,COYOTE,male,1
ABR31,CONTROL,male,6
ABR31,CONTROL,female,6
ABR31,CONTROL,female,6
ABR31,PIG,male,1
ABR31,COYOTE,female,1
ABR31,PIG,male,1
ABR31,COYOTE,male,1
ABR31,CONTROL,male,6
ABR31,CONTROL,female,6
ABR31,PIG,male,1
ABR31,CONTROL,male,6
ABR31,COYOTE,male,1
ABR31,CONTROL,male,6
ABR31,PIG,male,1
ABR31,PIG,female,1
ABR31,CONTROL,male,6
ABR31,PIG,male,1
ABR31,PIG,male,1
ABR31,CONTROL,male,6
ABR31,CONTROL,male,6
ABR32,CONTROL,male,1
ABR33,CONTROL,male,4
ABR33,PIG,male,1
ABR33,PIG,female,1
ABR33,PIG,female,1
ABR33,PIG,female,1
ABR33,CONTROL,female,4
ABR33,COYOTE,female,1
ABR33,PIG,male,1
ABR33,PIG,male,1
ABR33,CONTROL,male,4
ABR34,PIG,male,1
ABR34,PIG,male,1
ABR34,CONTROL,male,1
ABR35,COYOTE,male,2
